_id,Yil,Ilce,ilce_kodu,Erkek ve 0-4,Erkek ve 5-9,Erkek ve 10-14,Erkek ve 15-19,Erkek ve 20-24,Erkek ve 25-29,Erkek ve 30-34,Erkek ve 35-39,Erkek ve 40-44,Erkek ve 45-49,Erkek ve 50-54,Erkek ve 55-59,Erkek ve 60-64,Erkek ve 65-69,Erkek ve 70-74,Erkek ve 75-79,Erkek ve 80-84,Erkek ve 85-89,Erkek ve 90+,Kadin ve 0-4,Kadin ve 5-9,Kadin ve 10-14,Kadin ve 15-19,Kadin ve 20-24,Kadin ve 25-29,Kadin ve 30-34,Kadin ve 35-39,Kadin ve 40-44,Kadin ve 45-49,Kadin ve 50-54,Kadin ve 55-59,Kadin ve 60-64,Kadin ve 65-69,Kadin ve 70-74,Kadin ve 75-79,Kadin ve 80-84,Kadin ve 85-89,Kadin ve 90+
23,2007,Pendik,1835,22941,24824,23708,22442,19991,28803,26279,22155,19499,15502,12603,8525,5557,3891,2761,1866,923,294,295,21367,23201,22497,20946,23286,28316,24654,20389,18022,14240,11896,8548,5884,4722,3430,3006,1848,694,681
24,2007,Sarıyer,1604,8772,9921,10241,10901,13221,14279,13184,11978,10793,9246,7815,6073,4293,2847,2168,1454,748,219,207,8341,9221,9706,10071,13007,14218,13180,11854,10802,9003,7895,6075,4337,3289,2517,2114,1376,550,491
25,2007,Şile,1659,647,825,906,865,1748,1097,874,860,851,755,679,619,616,575,500,349,222,52,17,621,835,837,818,804,875,863,839,787,734,725,692,653,639,506,437,313,97,37
26,2007,Silivri,1622,4402,5086,5443,5367,4675,6416,5799,5041,4833,4245,3433,2736,1931,1538,1270,846,423,152,80,4105,4829,4945,4845,5120,5847,5450,4876,4486,3878,3365,2645,2020,1590,1416,1140,642,264,185
27,2007,Şişli,1663,9572,9864,10038,10573,14034,17791,16267,13697,11248,9976,8524,6735,4725,3401,2857,2117,1480,603,391,8971,9184,9401,10133,13855,18212,16265,13480,11591,10035,9181,7423,5619,4649,4047,3721,2994,1229,801
28,2007,Sultanbeyli,2014,15114,16678,15615,14622,11531,15382,12654,9896,8599,6727,4804,2803,1754,1195,879,669,354,127,187,14048,15666,14647,13276,13270,14289,10942,8543,7898,5720,4437,2956,2067,1701,1180,1155,677,308,388
29,2007,Tuzla,2015,7341,7533,7382,7546,10475,9606,7948,6853,5934,4889,3625,2555,1626,1079,701,540,299,77,77,6812,7059,6961,6642,7940,8717,7395,6277,5535,4197,3459,2451,1666,1257,932,845,538,255,215
30,2007,Ümraniye,1852,40042,42129,40622,38646,36639,50454,47553,39588,34126,26707,20904,14279,8687,5480,3879,2563,1282,463,512,37047,39859,37945,36209,41278,50375,44734,35952,30881,24307,19873,13655,9030,6850,4959,4566,2768,1147,1270
31,2007,Üsküdar,1708,19624,21361,22109,22194,23665,29623,27375,24525,21655,19371,16633,13096,8750,6252,4651,3307,1797,560,464,18587,19949,21133,20689,24560,30846,28456,24957,22417,19396,16978,13170,9347,7613,6124,5337,3605,1367,1123
32,2007,Zeytinburnu,1739,11609,12208,12667,13347,12401,15955,13932,12021,10323,8929,7349,5255,3082,2165,1577,1099,552,186,144,11138,11768,11972,12302,14294,15568,12934,11270,9998,8488,7213,5043,3299,2626,2141,1820,1174,505,389
33,2008,Adalar,1103,312,343,353,446,1273,698,579,525,485,509,541,451,366,268,187,180,62,35,5,321,296,339,374,465,563,484,526,488,498,521,380,373,296,194,154,112,50,20
34,2008,Arnavutköy,2048,9032,9283,8977,8402,7071,9056,7502,6022,5202,4464,3438,2240,1437,899,641,495,204,63,11,8441,8924,8236,7400,7750,8250,6258,5549,4690,3990,3081,2166,1442,1116,739,599,318,86,36
35,2008,Ataşehir,2049,13998,14051,14409,13910,13579,18381,17676,16178,13817,11590,9711,6962,4683,3057,1832,1370,576,150,33,13316,13343,13713,13138,15017,18622,17798,15983,13096,11025,9233,6789,4912,3368,2159,1880,1122,409,160
36,2008,Avcılar,2003,13468,13587,13545,13826,14596,19075,17027,14412,11849,10630,8911,6681,4393,2684,1710,1265,517,149,32,12777,12869,12999,12873,15699,18350,15625,13723,11844,10550,8969,6550,4535,3032,2152,1675,955,310,100
37,2008,Bağcılar,2004,36092,36923,36315,34033,29993,41248,36653,31261,24804,20040,14782,10337,6374,3729,2087,1552,606,189,36,34022,34762,33961,31607,35303,39714,33514,28190,22300,18058,14325,10324,6711,4433,2591,2210,1185,432,123
38,2008,Bahçelievler,2005,22305,22824,24069,23927,23747,31714,28561,24641,20619,18184,15062,11270,7424,4884,3060,2331,860,250,62,21646,21874,22801,22835,26100,31268,27326,24015,20288,18171,15262,11155,7886,5537,3927,3209,1765,609,215
39,2008,Bakırköy,1166,5002,5097,5922,6735,9754,9143,8547,7954,7729,7899,7570,6456,5174,3519,2682,2149,1339,408,95,4676,4877,5675,6525,7738,9936,9516,9331,9069,8926,8391,6806,5631,4303,3551,3183,2258,914,330
40,2008,Başakşehir,2050,10821,11823,11396,9812,7577,9724,9525,9519,8242,6217,4221,2577,1564,912,655,412,168,39,16,10241,11085,10679,9058,8701,10601,10101,8999,6939,5226,3640,2471,1674,1144,717,572,339,98,37
41,2008,Bayrampaşa,1886,10122,10749,11379,11089,10560,14101,12900,11853,10459,9087,7883,5617,3463,2416,1796,1284,581,160,38,9566,10083,10773,10349,11444,13382,12372,11357,10025,8656,7286,5240,3797,2982,2219,1816,991,297,104
42,2008,Beşiktaş,1183,4038,3970,4326,5109,8772,8487,7807,7277,6661,6337,5724,4979,4182,3231,2397,2056,1387,511,176,3754,3684,4073,4882,7210,9530,9226,8515,7661,7210,6847,5812,5055,4171,3337,3096,2352,1076,455
43,2008,Beykoz,1185,9172,9534,10058,10068,11187,12133,11333,10444,9418,8510,7099,5024,3192,2399,1601,1332,567,172,45,8558,8856,9647,9350,10298,11985,11275,10244,8994,8227,6599,4656,3425,2684,1986,1819,1078,363,122
44,2008,Beylikdüzü,2051,7494,7495,7440,6876,6594,9072,10025,9048,7562,6201,4900,3733,2464,1431,983,607,260,75,17,7225,6963,6905,6263,7428,10436,10520,8987,7161,5866,4841,3617,2570,1648,1162,902,578,208,76
45,2008,Beyoğlu,1186,9238,9811,10158,10146,10884,13397,11848,10801,9442,8297,6786,4815,3209,2300,1495,1292,569,169,44,8724,9238,9679,9258,10618,12505,11151,10200,8754,7749,6248,4541,3392,2866,2013,1813,1070,387,157
